Domain,Est. Mo Traffic,SOV
www.evoqua.com,2942.8590672413798,0.16187706497593898
en.wikipedia.org,1844.1172000000001,0.10143886369912984
www.linkedin.com,1527.5313350574713,0.08402450933869315
twitter.com,1120.1119500000002,0.061613699727878765
www.facebook.com,761.2481896551724,0.041873776434404694
finance.yahoo.com,541.6455,0.02979414976865192
www.dictionary.com,521.3600000000001,0.02867831067254204
www.theellisschool.org,355.11,0.019533441197879396
www.kemco-games.com,344.23420000000004,0.01893519896369873
www.merriam-webster.com,341.04,0.018759496454971106
www.mapquest.com,299.22461666666663,0.016459368800136116
westechequipment.com,274.5446333333333,0.015101803529638776
www.westech-inc.com,254.0342563218391,0.013973594683646381
www.imdb.com,246.96000000000004,0.01358446295015149
www.kemcosystems.com,242.95035000000001,0.013363905200442732
www.wwdmag.com,232.87251206896553,0.012809556253278134
www.ellis-songs.com,232.29,0.01277751416703389
www.lenntech.com,224.73901034482753,0.012362158890034912
www.glassdoor.com,217.2912155172414,0.011952480023434355
www.blbglaw.com,193.55929999999998,0.010647064866809431
www.reuters.com,180.41049999999998,0.009923792326969166
www.statueofliberty.org,168.21,0.009252682672679714
www.yelp.com,150.38411666666667,0.008272139055513413
www.evoquaadvantage.com,140.86515,0.007748531791150519
www.axflow.com,133.1777,0.007325670276305434
www.procat.com,128.616,0.0070747460592674285
www.elliscorp.com,125.9598,0.006928637173260818
www.ellisdelaney.com,125.49,0.006902795009776929
westechperformance.com,122.3572,0.006730469914497392
www2.ipm.ucanr.edu,121.52000000000001,0.0066844182770586695
www.dnb.com,121.36146494252874,0.006675697781373059
www.procatdt.com,113.16,0.006224561983475633
seekingalpha.com,108.71775000000001,0.005980208320775965
kemcoaerospace.com,107.1084,0.0058916832339245455
store.ewingirrigation.com,105.84000000000002,0.005821912692922068
www.ellispaul.com,101.46,0.005580983199394113
www.bloomberg.com,94.1141,0.005176909234438177
play.google.com,92.6698,0.005097463008981003
texasinsects.tamu.edu,90.16000000000001,0.004959407108785465
www.co.ellis.tx.us,82.77,0.004552907346874144
www.systemsservicecorp.com,78.8332948275862,0.004336362053869914
www.indeed.com,76.2739695402299,0.004195581929382233
www.owenscorning.com,73.416,0.004038374360011021
www.tinsleyellis.com,72.09,0.003965435431148449
www.zoominfo.com,68.38005,0.0037613631995242402
www.wateronline.com,63.487924137931046,0.003492263335089702
open.spotify.com,61.41,0.0033779635154227525
m.facebook.com,56.338470689655175,0.003098995253287238
aquaanalytic.com,56.16730689655172,0.0030895800921039644
crappygames.miraheze.org,55.176,0.0030350515376480346
www.kemco.com,54.813449999999996,0.0030151088463515594
19january2017snapshot.epa.gov,54.288,0.0029862055581382574
thewatercouncil.com,51.689003448275855,0.00284324324697666
www.acculaw.com,48.023999999999994,0.0026416433783530736
www.youtube.com,47.65427241379311,0.0026213058714836357
sourceesb.com,44.8818724137931,0.0024688052030231557
mycompanies.fandom.com,44.5609,0.0024511495589383116
www.womply.com,42.91198850574713,0.002360448323508457
opencorporates.com,42.81880172413794,0.0023553224230297804
www.worldwaterday.org,41.590500000000006,0.002287757557208761
wt-az.com,40.909333333333336,0.0022502888037822483
www.businesswire.com,40.207256896551726,0.0022116698721996674
store.steampowered.com,39.204,0.002156483987276235
www.worldwater.org,36.5925,0.0020128339022652186
wastebits.com,35.30126551724139,0.0019418073109508667
www.desalination.biz,32.64670172413793,0.0017957884273412635
www.worldwaterworks.com,31.8744,0.001753306632079319
elliscomparison.com,31.017599999999998,0.001706176862660426
www.aviationpros.com,29.950866666666666,0.001647499346283854
www.westechbuildingsupplies.com,29.292550000000002,0.0016112874967219794
www.westech-intl.com,28.2905,0.0015561679992357497
www.stenoworks.com,25.944,0.0014270946986505112
www.biomag.us,25.419999999999998,0.0013982711702010481
www.prnewswire.com,24.40945,0.0013426841154785198
www.oilstick.com,24.346,0.0013391939382263855
www.thomasvillechamber.com,24.273458620689667,0.001335203673893724
www.wyomingmining.org,23.850362068965527,0.0013119305145511849
www.un.org,23.7405,0.0013058873609818249
casperwyoming.chambermaster.com,20.98422413793104,0.0011542736286823728
dcpd6wotaa0mb.cloudfront.net,20.976,0.0011538212457174344
www.waterfordsystems.com,19.95225,0.0010975081021103014
westeconline.com,19.84645,0.0010916883896867268
www.westech-eng.com,19.845566666666667,0.0010916398004053075
www.motortrend.com,19.684,0.0010827525458000564
www.ludell.it,19.064999999999998,0.001048703377650786
www.heatexchangers.org,18.972,0.0010435877514183432
www.bucksales.com,17.457241379310346,0.0009602658273772793
ww2.owenscorning.com,17.112,0.000941275226769486
www.amazon.com,16.81846436781609,0.0009251287904237151
westecintl.com,16.81,0.0009246631931974673
www.businessyab.com,16.489933333333333,0.0009070573713035905
www.crunchbase.com,15.555456896551725,0.0008556548748132708
www.ebay.com,15.417387931034487,0.0008480601519972898
westecrestaurantconstruction.com,14.99235,0.0008246802037200505
www.bakerdist.com,14.904,0.0008198203587992298
www.manta.com,14.8847275862069,0.0008187602462663
www.harmsco.com,14.7955,0.0008138521281947132
www.horizonpoolsupply.com,14.627568965517241,0.0008046147905039469
www.adiglobaldistribution.us,14.213000000000001,0.0007818107058248427
findvectorlogo.com,13.989482758620694,0.0007695157524549152
www.konaequity.com,13.986,0.0007693241772789874
www.poolwarehouse.com,13.984,0.0007692141638116231
library.rit.edu,13.745399999999998,0.0007560895571550545
www.austineng.com,13.614155172413799,0.0007488702078768567
www.westec.us,13.4849,0.0007417603030308463
www.target.com,12.696,0.0006983654908289735
craft.co,11.88431551724138,0.0006537173786519111
